epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
54,3041.21,2.00533,2.32333,0.01834,0.39206,0.34299,0.28595,0.12368,1.74625,1.71962,0.01716,0.0013004,0.0013004,0.0013004
55,3097.14,2.00643,2.25416,0.0181,0.40717,0.36734,0.30974,0.13133,1.759,1.904,0.01557,0.0012872,0.0012872,0.0012872
56,3153,2.01817,2.26905,0.01828,0.38311,0.37885,0.31661,0.13813,1.72369,2.10491,0.0153,0.001274,0.001274,0.001274
57,3208.89,1.99211,2.23873,0.01815,0.38864,0.34456,0.30643,0.13587,1.70415,1.72186,0.01606,0.0012608,0.0012608,0.0012608
58,3265,1.94681,2.21977,0.0176,0.37282,0.34847,0.29095,0.12618,1.74513,1.83281,0.01614,0.0012476,0.0012476,0.0012476
59,3320.92,1.94519,2.18798,0.01729,0.40018,0.38136,0.31635,0.13414,1.68673,1.96646,0.0153,0.0012344,0.0012344,0.0012344
60,3376.8,1.96626,2.24042,0.01742,0.41315,0.35724,0.31548,0.141,1.71217,1.75361,0.01567,0.0012212,0.0012212,0.0012212
61,3432.55,1.92225,2.17243,0.01776,0.38082,0.35865,0.2909,0.12605,1.67638,1.82107,0.01523,0.001208,0.001208,0.001208
62,3488.51,1.95596,2.17326,0.01735,0.38044,0.37267,0.31139,0.1401,1.68579,1.76685,0.01533,0.0011948,0.0011948,0.0011948
63,3548.1,1.97961,2.14328,0.01698,0.38872,0.36962,0.30652,0.13531,1.6554,1.81055,0.01496,0.0011816,0.0011816,0.0011816
64,3605.62,1.93558,2.13859,0.01761,0.41094,0.37197,0.30424,0.12838,1.75037,1.87583,0.01722,0.0011684,0.0011684,0.0011684
65,3663.05,1.96823,2.19052,0.01807,0.38646,0.35944,0.29744,0.13731,1.59889,1.82988,0.0144,0.0011552,0.0011552,0.0011552
66,3720.05,1.93224,2.11383,0.01799,0.41563,0.3843,0.32389,0.12987,1.72237,1.86438,0.01549,0.001142,0.001142,0.001142
67,3776.29,1.96847,2.1537,0.01692,0.40232,0.33908,0.29797,0.13949,1.64038,1.71357,0.01443,0.0011288,0.0011288,0.0011288
68,3832.98,1.91383,2.10798,0.01699,0.39518,0.39076,0.30842,0.14138,1.59758,1.7625,0.01393,0.0011156,0.0011156,0.0011156
69,3889.68,1.95501,2.17009,0.01712,0.42002,0.37197,0.33134,0.14672,1.67003,1.72798,0.01479,0.0011024,0.0011024,0.0011024
70,3948.29,1.93642,2.13499,0.01719,0.40774,0.35944,0.32173,0.14293,1.71986,1.71178,0.01579,0.0010892,0.0010892,0.0010892
71,4005.37,1.93966,2.12022,0.01728,0.37516,0.3751,0.31569,0.14544,1.6147,1.79758,0.01476,0.001076,0.001076,0.001076
72,4063.87,1.9479,2.11389,0.01781,0.38711,0.37838,0.31805,0.1366,1.70355,1.71744,0.01497,0.0010628,0.0010628,0.0010628
73,4122.32,1.91783,2.12382,0.01762,0.40892,0.38789,0.33434,0.15455,1.6413,1.71069,0.01512,0.0010496,0.0010496,0.0010496
74,4180.77,1.88527,2.07089,0.01692,0.41627,0.37275,0.33909,0.1432,1.70322,1.69382,0.01559,0.0010364,0.0010364,0.0010364
75,4239.69,1.91516,2.12406,0.01749,0.43449,0.39937,0.35319,0.16137,1.65282,1.68072,0.01532,0.0010232,0.0010232,0.0010232
76,4298.13,1.8829,2.05203,0.01701,0.44842,0.38453,0.3598,0.16182,1.65517,1.57404,0.01476,0.00101,0.00101,0.00101
77,4353.87,1.92806,2.12369,0.0167,0.4598,0.38192,0.3416,0.1512,1.70963,1.6368,0.01559,0.0009968,0.0009968,0.0009968
78,4410.81,1.97828,2.10044,0.01726,0.42032,0.35787,0.33319,0.15301,1.6068,1.66392,0.0147,0.0009836,0.0009836,0.0009836
79,4467.74,1.91075,2.0883,0.01649,0.43361,0.38371,0.33561,0.1517,1.61602,1.72356,0.01454,0.0009704,0.0009704,0.0009704
80,4527.2,1.89063,2.08494,0.01703,0.42373,0.35872,0.3299,0.1541,1.60066,1.61677,0.01391,0.0009572,0.0009572,0.0009572
81,4584.22,1.91869,2.07359,0.01721,0.44886,0.36417,0.34379,0.15757,1.61413,1.66197,0.01433,0.000944,0.000944,0.000944
82,4640.43,1.87649,2.0358,0.01648,0.41838,0.39859,0.34382,0.1505,1.679,1.84432,0.01542,0.0009308,0.0009308,0.0009308
83,4696.42,1.88435,2.08492,0.017,0.41624,0.37588,0.34592,0.1612,1.55229,1.61517,0.01341,0.0009176,0.0009176,0.0009176
84,4753.43,1.8719,2.05079,0.01632,0.44641,0.39154,0.35366,0.16623,1.61731,1.62888,0.01435,0.0009044,0.0009044,0.0009044
85,4811.99,1.83062,2.00422,0.01626,0.40491,0.38528,0.33786,0.16538,1.53892,1.63372,0.01371,0.0008912,0.0008912,0.0008912
86,4868.11,1.85815,2.0481,0.0163,0.44865,0.38684,0.35339,0.1702,1.60135,1.63274,0.01444,0.000878,0.000878,0.000878
87,4923.92,1.87605,1.99212,0.01641,0.41618,0.39859,0.35241,0.16603,1.58444,1.5861,0.01434,0.0008648,0.0008648,0.0008648
88,4979.74,1.88106,2.02491,0.01723,0.43498,0.39624,0.35087,0.16365,1.57237,1.70976,0.01355,0.0008516,0.0008516,0.0008516
